City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Abha,SA,2021-03-05 00:25:52,18.2164,42.5053,59.0,88,20,5.75
105,Kingman,US,2021-03-05 00:25:52,35.1894,-114.053,62.6,23,1,5.75
106,Cayenne,GF,2021-03-05 00:24:13,4.9333,-52.3333,79.0,89,20,4.61
107,Lincoln,US,2021-03-05 00:23:00,40.8,-96.667,62.6,29,1,9.22
108,Wahiawa,US,2021-03-05 00:25:54,21.5028,-158.0236,80.6,68,40,12.66
109,Misratah,LY,2021-03-05 00:25:57,32.3754,15.0925,59.11,71,61,21.03
110,Bathsheba,BB,2021-03-05 00:25:59,13.2167,-59.5167,78.8,69,75,19.57
111,Ponta%20Do%20Sol,PT,2021-03-05 00:25:07,32.6667,-17.1,60.01,74,40,1.99
112,Hondo,JP,2021-03-05 00:26:01,32.45,130.2,55.4,94,75,6.91
113,Barrow,US,2021-03-05 00:22:05,71.2906,-156.7887,-25.6,68,90,17.27
114,Dicamay,PH,2021-03-05 00:26:02,16.7561,122.0037,76.75,76,1,0.45
115,Takoradi,GH,2021-03-05 00:26:03,4.8845,-1.7554,79.86,88,58,10.45
116,Taltal,CL,2021-03-05 00:26:03,-25.4,-70.4833,66.4,80,24,3.36
117,Pacifica,US,2021-03-05 00:26:04,37.6138,-122.4869,60.01,76,1,7.34
118,Jerantut,MY,2021-03-05 00:26:05,3.936,102.3626,73.2,94,53,1.28
119,Saint%20Anthony,US,2021-03-05 00:24:56,45.0205,-93.218,44.6,45,75,5.75
120,Pangody,RU,2021-03-05 00:26:06,65.85,74.4859,12.72,96,97,11.1
121,Chabahar,IR,2021-03-05 00:26:08,25.2919,60.643,76.14,55,0,6.06
122,Dinga,PK,2021-03-05 00:26:09,32.6398,73.722,57.2,88,0,5.46
123,Ostrovnoy,RU,2021-03-05 00:26:12,68.0531,39.5131,12.33,94,100,7.9
124,Songkhla,TH,2021-03-05 00:26:13,6.8333,100.6667,78.8,100,20,3.44
125,Bajil,YE,2021-03-05 00:26:15,15.0584,43.2851,77.92,70,1,4.54
126,Kodiak,US,2021-03-05 00:23:59,57.79,-152.4072,35.6,60,1,13.8
127,Veraval,IN,2021-03-05 00:26:16,20.9,70.3667,75.51,45,0,11.79
128,Nsanje,MW,2021-03-05 00:26:16,-16.92,35.262,72.36,95,32,1.32
129,Ambilobe,MG,2021-03-05 00:26:18,-13.2,49.05,75.74,91,100,2.04
130,Upernavik,GL,2021-03-05 00:26:21,72.7868,-56.1549,-14.39,84,21,15.37
131,Tura,IN,2021-03-05 00:26:22,25.5198,90.2201,62.28,31,0,4.52
132,Cape%20Town,ZA,2021-03-05 00:22:57,-33.9258,18.4232,68.0,63,0,17.27
133,Leningradskiy,RU,2021-03-05 00:26:24,69.3833,178.4167,-0.85,91,100,29.68
134,Adre,TD,2021-03-05 00:26:26,13.4667,22.2,67.21,23,60,21.07
135,Russell,US,2021-03-05 00:26:28,32.3502,-85.1999,69.8,41,1,4.94
136,Sibolga,ID,2021-03-05 00:24:11,1.7427,98.7792,76.24,79,23,4.07
137,Cabo%20San%20Lucas,MX,2021-03-05 00:26:29,22.8909,-109.9124,77.0,38,75,5.75
138,Udimskiy,RU,2021-03-05 00:26:30,61.1417,45.9144,0.68,94,78,3.83
139,Port%20Elizabeth,ZA,2021-03-05 00:26:31,-33.918,25.5701,66.2,94,40,4.61
140,Langsa,ID,2021-03-05 00:24:36,4.4683,97.9683,74.8,89,2,1.54
141,Tiksi,RU,2021-03-05 00:26:35,71.6872,128.8694,-22.36,86,91,5.68
142,Codrington,AU,2021-03-05 00:26:36,-38.2667,141.9667,58.59,63,99,12.68
143,Atuona,PF,2021-03-05 00:26:38,-9.8,-139.0333,79.99,76,1,12.62
144,Hualmay,PE,2021-03-05 00:26:39,-11.0964,-77.6139,73.2,78,75,5.1
145,Nivala,FI,2021-03-05 00:26:43,63.9167,24.9667,10.99,85,0,8.99
146,Isangel,VU,2021-03-05 00:26:43,-19.55,169.2667,86.0,79,75,11.5
147,Cheshunt,GB,2021-03-05 00:26:46,51.7079,-0.0374,39.99,65,71,5.01
148,Port%20Lincoln,AU,2021-03-05 00:22:52,-34.7333,135.8667,63.63,76,85,14.2
149,Hasaki,JP,2021-03-05 00:26:50,35.7333,140.8333,55.4,76,75,3.44
150,Carnarvon,AU,2021-03-05 00:24:58,-24.8667,113.6333,75.2,94,12,9.22
151,Salvador,SV,2021-03-05 00:26:52,13.8333,-88.9167,84.2,61,0,8.05
152,Mount%20Gambier,AU,2021-03-05 00:23:18,-37.8333,140.7667,64.4,63,90,14.97
153,Taunggyi,MM,2021-03-05 00:26:53,20.7833,97.0333,51.44,54,2,3.27
154,Auki,SB,2021-03-05 00:23:20,-8.7676,160.7034,79.66,80,100,5.75
155,Lewistown,US,2021-03-05 00:26:56,40.5992,-77.5714,30.2,51,40,16.11
156,Kingaroy,AU,2021-03-05 00:26:56,-26.5333,151.8333,82.99,50,0,4.61
157,Nanortalik,GL,2021-03-05 00:26:58,60.1432,-45.2371,32.4,97,99,6.4
158,Thompson,CA,2021-03-05 00:25:23,55.7435,-97.8558,28.4,64,75,5.75
159,Tahoua,NE,2021-03-05 00:26:59,14.8888,5.2692,77.0,15,0,4.61
160,Talnakh,RU,2021-03-05 00:27:02,69.4865,88.3972,-3.93,89,100,9.24
161,Caravelas,BR,2021-03-05 00:22:11,-17.7125,-39.2481,75.02,82,15,4.76
162,Egvekinot,RU,2021-03-05 00:25:42,66.3167,-179.1667,0.68,96,100,8.66
163,Salalah,OM,2021-03-05 00:27:05,17.0151,54.0924,71.6,56,0,2.3
164,Nikolskoye,RU,2021-03-05 00:27:09,59.7035,30.7861,23.0,80,0,13.42
165,Coquimbo,CL,2021-03-05 00:27:11,-29.9533,-71.3436,62.6,88,90,3.44
166,Lavrentiya,RU,2021-03-05 00:27:13,65.5833,-171.0,8.26,93,100,23.2
167,Reconquista,AR,2021-03-05 00:27:15,-29.15,-59.65,73.31,83,87,4.56
168,Kurilsk,RU,2021-03-05 00:27:17,45.2333,147.8833,35.73,88,100,13.51
169,Smithers,CA,2021-03-05 00:27:18,54.7804,-127.1743,46.4,39,75,9.22
170,Faanui,PF,2021-03-05 00:27:20,-16.4833,-151.75,83.73,71,72,7.43
171,Jaguarari,BR,2021-03-05 00:27:23,-10.2639,-40.1958,75.56,59,86,7.27
172,Rabat,MA,2021-03-05 00:26:23,33.9911,-6.8401,59.0,100,75,3.44
173,Marsa%20Matruh,EG,2021-03-05 00:27:26,31.3525,27.2453,48.2,76,0,5.23
174,Mana,GF,2021-03-05 00:27:29,5.6592,-53.7767,77.7,83,78,11.77
175,Muros,ES,2021-03-05 00:27:31,42.7762,-9.0603,51.01,89,96,5.66
176,Imbituba,BR,2021-03-05 00:27:31,-28.24,-48.6703,75.2,94,75,11.5
177,Yamada,JP,2021-03-05 00:27:34,39.4667,141.95,50.77,69,68,9.89
178,Port%20Shepstone,ZA,2021-03-05 00:27:35,-30.7414,30.455,72.7,86,65,6.42
179,Tiznit,MA,2021-03-05 00:27:36,29.5833,-9.5,53.06,84,38,3.71
180,Syedove,UA,2021-03-05 00:27:37,47.0768,38.156,35.01,100,30,11.99
181,Bazarnyy%20Syzgan,RU,2021-03-05 00:27:38,53.7512,46.7535,25.23,98,100,2.55
182,Raga,SS,2021-03-05 00:27:38,8.4596,25.678,72.36,20,20,5.86
183,Sovetskiy,RU,2021-03-05 00:27:42,61.3614,63.5842,3.9,94,27,3.22
184,Morant%20Bay,JM,2021-03-05 00:27:43,17.8815,-76.4093,80.6,69,75,8.05
185,Ancud,CL,2021-03-05 00:27:25,-41.8697,-73.8203,59.0,72,0,3.44
186,Trairi,BR,2021-03-05 00:27:44,-3.2778,-39.2689,80.06,77,100,8.39
187,Chicama,PE,2021-03-05 00:27:46,-7.8447,-79.1469,73.4,83,75,10.36
188,Pochutla,MX,2021-03-05 00:27:47,15.7432,-96.4661,84.2,58,40,11.5
189,Avarua,CK,2021-03-05 00:23:47,-21.2078,-159.775,84.2,79,100,8.05
190,Chara,RU,2021-03-05 00:27:48,56.9064,118.2631,-26.28,64,0,1.12
191,Constitucion,CL,2021-03-05 00:27:50,-35.3333,-72.4167,61.36,78,0,15.55
192,Pontes%20E%20Lacerda,BR,2021-03-05 00:27:51,-15.2261,-59.3353,74.25,89,71,2.3
193,Canar,EC,2021-03-05 00:27:52,-2.55,-78.9333,59.0,94,99,2.3
194,Santa%20Maria,BR,2021-03-05 00:27:54,-29.6842,-53.8069,68.0,100,75,3.44
195,Komsomolskiy,UZ,2021-03-05 00:27:55,40.4272,71.7189,41.0,81,90,23.02
196,Sambava,MG,2021-03-05 00:27:57,-14.2667,50.1667,75.49,91,88,5.14
197,Kahului,US,2021-03-05 00:27:59,20.8947,-156.47,80.6,50,40,18.41
198,San%20Juan%20De%20Abajo,MX,2021-03-05 00:28:00,20.8167,-105.1833,75.2,78,1,12.66
199,Manokwari,ID,2021-03-05 00:28:02,-0.8667,134.0833,82.96,68,100,3.78
200,Bambous%20Virieux,MU,2021-03-05 00:28:03,-20.3428,57.7575,75.2,83,40,5.75
201,Pachino,IT,2021-03-05 00:28:08,36.7186,15.0907,48.2,87,20,3.44
202,Burnie,AU,2021-03-05 00:28:09,-41.0667,145.9167,63.0,53,1,18.01
203,Hambantota,LK,2021-03-05 00:28:10,6.1241,81.1185,71.6,100,16,3.44
204,Khani,GE,2021-03-05 00:28:11,41.9563,42.9566,26.6,100,0,5.75
205,Galesong,ID,2021-03-05 00:28:11,-5.3166,119.3661,78.8,89,20,2.3
206,Annau,TM,2021-03-05 00:28:12,37.8876,58.516,46.4,71,90,11.5
207,Namatanai,PG,2021-03-05 00:28:13,-3.6667,152.4333,84.88,68,84,3.6
208,Boa%20Vista,BR,2021-03-05 00:25:13,2.8197,-60.6733,86.0,58,75,6.91
209,Goroka,PG,2021-03-05 00:28:14,-6.0834,145.3873,72.05,67,100,1.03
210,Cockburn%20Town,TC,2021-03-05 00:25:23,21.4612,-71.1419,77.0,78,20,5.75
211,Samfya,ZM,2021-03-05 00:28:16,-11.3649,29.5565,65.89,85,97,4.29
212,Port%20Alfred,ZA,2021-03-05 00:28:16,-33.5906,26.891,66.99,92,44,1.99
213,Hami,CN,2021-03-05 00:28:16,42.8,93.45,32.5,75,59,6.35
214,Turka,UA,2021-03-05 00:28:18,49.1541,23.0297,42.01,83,100,2.84
215,Smidovich,RU,2021-03-05 00:28:20,48.6,133.8167,19.33,96,100,16.11
216,Berdigestyakh,RU,2021-03-05 00:27:50,62.0989,126.6992,-27.8,83,57,8.28
217,Tautira,PF,2021-03-05 00:28:22,-17.7333,-149.15,86.0,66,40,6.91
218,Bereda,ES,2021-03-05 00:28:23,43.2686,-7.5406,46.99,100,50,3.0
219,Weymouth,US,2021-03-05 00:28:24,42.2209,-70.9398,33.8,27,1,12.66
220,Sangar,RU,2021-03-05 00:28:25,63.9242,127.4739,-36.24,81,90,6.82
221,Tamandare,BR,2021-03-05 00:28:27,-8.7597,-35.1047,77.59,84,3,7.67
222,Butaritari,KI,2021-03-05 00:28:28,3.0707,172.7902,81.88,77,95,20.2
223,Matara,LK,2021-03-05 00:28:29,5.9485,80.5353,72.23,85,0,4.41
224,Mmabatho,ZA,2021-03-05 00:28:29,-25.85,25.6333,62.6,77,51,2.3
225,Pevek,RU,2021-03-05 00:28:31,69.7008,170.3133,-0.15,93,100,4.32
226,Touros,BR,2021-03-05 00:28:32,-5.1989,-35.4608,78.8,83,20,5.75
227,Lata,PT,2021-03-05 00:28:33,40.1629,-8.3327,55.99,81,100,3.47
228,Kavieng,PG,2021-03-05 00:28:35,-2.5744,150.7967,84.09,74,88,8.5
229,Kruisfontein,ZA,2021-03-05 00:28:35,-34.0033,24.7314,64.99,92,24,9.71
230,Castro,BR,2021-03-05 00:27:15,-24.7911,-50.0119,64.09,96,100,7.27
231,Novokayakent,RU,2021-03-05 00:28:38,42.3937,47.9861,32.0,80,65,11.18
232,Nyagan,RU,2021-03-05 00:28:39,62.1406,65.3936,6.75,95,65,4.97
233,Avera,US,2021-03-05 00:28:40,33.194,-82.5271,62.01,38,1,3.44
234,Los%20Llanos%20De%20Aridane,ES,2021-03-05 00:28:41,28.6585,-17.9182,64.4,72,0,5.75
235,Oranjestad,AW,2021-03-05 00:23:55,12.524,-70.027,78.8,73,20,17.27
236,Carbonera,IT,2021-03-05 00:28:42,45.6806,12.2883,48.2,81,90,3.44
237,Ottumwa,US,2021-03-05 00:28:43,41.02,-92.4113,42.8,75,1,16.11
238,Kenosha,US,2021-03-05 00:28:43,42.5667,-88.0501,28.4,74,1,6.91
239,Longyearbyen,SJ,2021-03-05 00:28:44,78.2186,15.6401,5.0,66,75,16.11
240,Baykit,RU,2021-03-05 00:28:46,61.67,96.37,-1.1,89,100,3.02
241,Bonnyville,CA,2021-03-05 00:28:47,54.2668,-110.735,41.0,56,20,12.66
242,Bengkulu,ID,2021-03-05 00:28:49,-3.8004,102.2655,76.86,82,94,4.41
243,Klaksvik,FO,2021-03-05 00:28:50,62.2266,-6.589,33.8,86,75,9.35
244,Orlik,RU,2021-03-05 00:28:52,52.5178,99.825,-10.97,77,3,2.1
245,Jinka,ET,2021-03-05 00:28:53,5.65,36.65,69.03,66,92,2.35
246,Matay,EG,2021-03-05 00:28:55,28.419,30.7792,51.17,76,0,8.95
247,Sabang,ID,2021-03-05 00:28:56,5.8933,95.3214,82.15,77,9,8.88
248,Bachaquero,VE,2021-03-05 00:28:58,9.9694,-71.1494,82.51,59,0,5.23
249,Petropolis,RU,2021-03-05 00:27:22,59.8944,30.2642,23.0,80,0,13.42
250,Alice%20Springs,AU,2021-03-05 00:28:59,-23.7,133.8833,87.01,9,0,13.8
251,Victoria,HK,2021-03-05 00:24:17,22.2855,114.1577,69.01,89,97,13.31
252,Geraldton,AU,2021-03-05 00:28:21,-28.7667,114.6,71.6,83,0,5.75
253,Acarau,BR,2021-03-05 00:29:00,-2.8856,-40.12,80.49,77,93,11.25
254,Mayo,US,2021-03-05 00:29:02,38.8876,-76.5119,43.0,42,90,19.57
255,Teguldet,RU,2021-03-05 00:29:03,57.3064,88.1667,22.53,95,100,10.2
256,Gazanjyk,TM,2021-03-05 00:29:05,39.2446,55.5154,42.1,68,17,14.27
257,Madera,US,2021-03-05 00:29:06,37.1666,-119.8343,69.8,30,1,5.75
258,Yatou,CN,2021-03-05 00:29:08,37.15,122.3833,44.01,89,69,6.51
259,Klin,RU,2021-03-05 00:29:09,56.3333,36.7333,23.0,80,20,8.95
260,Bundaberg,AU,2021-03-05 00:29:10,-24.85,152.35,84.99,50,40,8.05
