City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
200,Bambous%20Virieux,MU,75.2,-20.3428,57.7575,Casa Tia Villa
205,Galesong,ID,78.8,-5.3166,119.3661,Sapriadi Appy
207,Namatanai,PG,84.88,-3.6667,152.4333,Namatanai Hotel
208,Boa%20Vista,BR,86.0,2.8197,-60.6733,Aipana Plaza Hotel
210,Cockburn%20Town,TC,77.0,21.4612,-71.1419,Osprey Beach Hotel
217,Tautira,PF,86.0,-17.7333,-149.15,Pension Oaoa
221,Tamandare,BR,77.59,-8.7597,-35.1047,Pousada 100 Passos
222,Butaritari,KI,81.88,3.0707,172.7902,Isles Sunset Lodge
226,Touros,BR,78.8,-5.1989,-35.4608,INN NEW HORIZON
228,Kavieng,PG,84.09,-2.5744,150.7967,Nusa Island Retreat
235,Oranjestad,AW,78.8,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
242,Bengkulu,ID,76.86,-3.8004,102.2655,Grage Hotel Bengkulu
247,Sabang,ID,82.15,5.8933,95.3214,Hotel Citra
248,Bachaquero,VE,82.51,9.9694,-71.1494,casa de los dinosaurios
250,Alice%20Springs,AU,87.01,-23.7,133.8833,Desert Palms Alice Springs
253,Acarau,BR,80.49,-2.8856,-40.12,castelo pizzaria
260,Bundaberg,AU,84.99,-24.85,152.35,Takalvan Motel
262,Innisfail,AU,82.13,-17.5333,146.0333,Moondarra Motel
274,El%20Alto,PE,75.15,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
280,Lahad%20Datu,MY,76.23,5.0268,118.32700000000001,The 27th House
283,Sola,VU,80.6,-13.8833,167.55,Leumerus Bungalows
285,Yulara,AU,84.2,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
287,Port%20Blair,IN,80.6,11.6667,92.75,Welcomhotel Bay Island Port Blair
296,Buchanan,LR,77.0,5.8808,-10.0467,Kamaneahn Hotel Inc
301,Vila%20Velha,BR,78.01,-20.3297,-40.2925,Quality Suites Vila Velha
308,Bonthe,SL,78.87,7.5264,-12.505,Bonthe Holiday Village
310,Muisne,EC,78.1,0.6,-80.0333,Quinta Samay
312,Kulhudhuffushi,MV,82.2,6.6221,73.07,Haajy Guest House 1
313,Bowen,AU,82.4,-20.0167,148.2333,Castle Motor Lodge Motel
315,Port-Gentil,GA,82.4,-0.7193,8.7815,Fengshui Residence
318,Guaratinga,BR,78.8,-16.5667,-39.5667,Hotel Caraíva
322,Acapulco,MX,82.4,16.8634,-99.8901,HS Hotsson Smart Acapulco
330,Soyo,AO,79.9,-6.1349,12.3689,Hotel Mpampa
333,Yeppoon,AU,82.4,-23.1333,150.7333,Villa Mar Colina
345,Papar,MY,78.8,5.7333,115.9333,Koposizon Homestay
356,George%20Town,MY,81.0,5.4112,100.3354,Cititel Penang
357,Korhogo,CI,80.08,9.45,-5.6333,Hôtel Tchinbota
360,Cabo%20Rojo,PR,78.01,18.0866,-67.1457,Hotel Perichi's
367,Jega,NG,79.09,12.2175,4.3792,ALH. Nasiru Ibrahim
370,Roebourne,AU,85.14,-20.7833,117.1333,Harding River Caravan Park
373,Mogadishu,SO,77.7,2.0371,45.3438,Olympic Hotel
374,Kota%20Bahru,MY,80.6,6.1333,102.2386,Grand Riverview Hotel
375,Wukari,NG,76.95,7.85,9.7833,Elimtop
376,Alenquer,BR,75.2,-1.9417,-54.7383,Josilene Castro
380,Owando,CG,75.61,-0.4819,15.8999,Exaunel Hotel Owando
383,Atambua,ID,81.23,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
385,Labuhan,ID,76.89,-6.8844,112.2051,PT PPI Lamongan Tambak C
389,Trat,TH,80.01,12.5,102.5,สวนหนิง-อัศ
391,Tabou,CI,78.76,4.423,-7.3528,hotêl doufoulougou
395,Saint-Pierre,RE,77.0,-21.3393,55.4781,Lindsey Hôtel
396,Tevaitoa,PF,82.81,-16.7833,-151.5,Hôtel Raiatea Lodge
401,Davila,PH,78.8,18.4726,120.5763,Blue Ridge Beach Resort
406,Itarema,BR,80.51,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
420,Skeldon,GY,76.08,5.8833,-57.1333,Rits Hotel
426,Cabinda,AO,79.86,-5.55,12.2,"Hotel Executivo , 3 estrelas"
432,Padang,ID,75.2,-0.9492,100.3543,Mercure Padang
437,Belmonte,BR,78.8,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
438,San%20Cristobal,VE,80.6,7.7669,-72.225,Posada Villaven C.A.
440,Dingle,PH,81.46,10.9995,122.6711,SEGAYA PROPERTY
445,Kathu,TH,86.0,7.9178,98.3332,Novotel Phuket Resort
451,Buin,CL,84.2,-33.7333,-70.75,Paihuen
452,Benjamin%20Constant,BR,77.0,-4.3831,-70.0311,CASA AVALIADA
457,Ranong,TH,80.6,9.9658,98.6348,Tinidee Hotel@Ranong
459,Dawei,MM,78.71,14.0833,98.2,Hotel Dawei
473,Wanning,CN,75.67,18.8003,110.3967,Paradise Hotel
480,Santo%20Tomas,PH,84.99,14.1079,121.1414,Microtel by Wyndham Batangas
482,Carutapera,BR,75.96,-1.195,-46.02,Lidera
495,Lujan,AR,75.99,-34.5703,-59.105,Hotel Biarritz
